"id","name","category_id","category_name","sales_price","cost_price","currency","is_active","updated_at"
"PROD011","8oz Ribeye","CAT_MAIN","Mains","24.0000000000","2.7590000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD044","Affogato","CAT_DESS","Desserts","6.5000000000","0.6400000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD063","Aperol Spritz","CAT_CKTL","Cocktails","10.0000000000","1.1250000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD047","Apple Crumble","CAT_DESS","Desserts","7.0000000000","1.3050000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD056","Apple Juice","CAT_SOFT","Soft Drinks","3.5000000000","0.7000000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD024","Beef Bourguignon","CAT_MAIN","Mains","16.0000000000","2.7210000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD038","Bread Roll","CAT_SIDE","Sides","3.0000000000","0.6550000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD005","Bruschetta","CAT_START","Starters","7.0000000000","1.6180000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD007","Calamari","CAT_START","Starters","8.5000000000","1.4670000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD010","Caprese Salad","CAT_START","Starters","7.0000000000","1.4054000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD048","Cheese Board","CAT_DESS","Desserts","9.0000000000","3.3950000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD030","Chicken Burger","CAT_BURG","Burgers","13.5000000000","1.3190000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD018","Chicken Caesar Salad","CAT_MAIN","Mains","13.0000000000","1.4960000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD012","Chicken Supreme","CAT_MAIN","Mains","16.5000000000","1.7190000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD004","Chicken Wings","CAT_START","Starters","8.0000000000","1.0480000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD034","Chips","CAT_SIDE","Sides","4.0000000000","0.2124000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD043","Chocolate Brownie","CAT_DESS","Desserts","7.0000000000","1.0790000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD078","Cider","CAT_WINE","Wine & Beer","5.0000000000","1.3064000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD026","Classic Burger","CAT_BURG","Burgers","13.0000000000","1.6680000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD050","Cola","CAT_SOFT","Soft Drinks","3.0000000000","0.0875000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD039","Coleslaw","CAT_SIDE","Sides","3.5000000000","0.3400000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD069","Cosmopolitan","CAT_CKTL","Cocktails","10.5000000000","0.8000000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD046","Cr├¿me Br├╗l├⌐e","CAT_DESS","Desserts","7.5000000000","1.3060000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD051","Diet Cola","CAT_SOFT","Soft Drinks","3.0000000000","0.0750000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD022","Duck Breast","CAT_MAIN","Mains","21.0000000000","3.0420000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD057","Elderflower Press├⌐","CAT_SOFT","Soft Drinks","4.0000000000","0.1650000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD060","Espresso Martini","CAT_CKTL","Cocktails","11.0000000000","0.9580000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD013","Fish & Chips","CAT_MAIN","Mains","14.5000000000","1.9350000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD032","Fish Burger","CAT_BURG","Burgers","13.5000000000","1.8960000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD055","Fresh Orange Juice","CAT_SOFT","Soft Drinks","4.0000000000","0.9000000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD008","Garlic Mushrooms","CAT_START","Starters","6.5000000000","1.5710000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD058","Ginger Beer","CAT_SOFT","Soft Drinks","3.5000000000","0.8000000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD025","Goat Cheese Tart","CAT_MAIN","Mains","13.5000000000","1.8360000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD020","Grilled Salmon","CAT_MAIN","Mains","17.5000000000","2.2600000000","GBP","True","2025-09-30T00:00:00.0000000"
