"id","location_id","opened_at","closed_at","state","order_mode","delivery_partner","currency","total","discount_total","tax_total","gross_sales","net_sales","guest_count","item_count","updated_at","source_reference"
"ord_604fc4d8f25f83f10e217d42ee05d730ad582ba5daac8705f4769b9df814a798","LOC002","2026-03-25T11:28:52.0000000","2026-03-25T12:49:24.0000000","completed",,,"GBP","36.5000000000","0.0000000000","7.3000000000","36.5000000000","29.2000000000","2.0000000000","3.0000000000","2026-03-25T11:28:52.0000000","ORD00063662"
"ord_6b03e12171a90c3f8d561838275487498fa8b51cc4fb0de7df6e95b8572090dd","LOC002","2026-03-25T12:04:27.0000000","2026-03-25T13:20:31.0000000","completed",,,"GBP","11.0000000000","0.0000000000","2.2000000000","11.0000000000","8.8000000000","4.0000000000","2.0000000000","2026-03-25T12:04:27.0000000","ORD00063642"
"ord_3bd188095e37c6d42a1a6273a3ba87db1ee0cc3c07beb6423ea0e25b6bc8e936","LOC002","2026-03-25T12:08:54.0000000","2026-03-25T13:28:05.0000000","completed",,,"GBP","35.5000000000","0.0000000000","7.1000000000","35.5000000000","28.4000000000","3.0000000000","3.0000000000","2026-03-25T12:08:54.0000000","ORD00063643"
"ord_263d231258f46f891d1439acacd76a33a4555f4481d9ba27459c7719d00ae6dd","LOC002","2026-03-25T12:21:40.0000000","2026-03-25T13:48:18.0000000","completed",,,"GBP","28.0000000000","0.0000000000","5.6000000000","28.0000000000","22.4000000000","1.0000000000","2.0000000000","2026-03-25T12:21:40.0000000","ORD00063663"
"ord_bf4c93d0dcfb43febd639f09e777b098bed7ad3f861458bc9e5990fc7f4e61a1","LOC002","2026-03-25T12:28:32.0000000","2026-03-25T13:36:56.0000000","completed",,,"GBP","35.5000000000","0.0000000000","7.1000000000","35.5000000000","28.4000000000","1.0000000000","3.0000000000","2026-03-25T12:28:32.0000000","ORD00063659"
"ord_cad027e867b50a64a2235bd0b1149263d0537bebd90adeae8d7949ccd9705026","LOC002","2026-03-25T12:36:58.0000000","2026-03-25T13:42:38.0000000","completed",,,"GBP","10.5000000000","0.0000000000","2.1000000000","10.5000000000","8.4000000000","4.0000000000","1.0000000000","2026-03-25T12:36:58.0000000","ORD00063627"
"ord_f1ae3a7e8adfff3b41d925ad05459cce95cf85047e7532e81e7ce8af151037e8","LOC002","2026-03-25T12:59:54.0000000","2026-03-25T13:02:58.0000000","completed",,,"GBP","13.5000000000","0.0000000000","2.7000000000","13.5000000000","10.8000000000","4.0000000000","1.0000000000","2026-03-25T12:59:54.0000000","ORD00063667"
"ord_c8cd58c5ea1c6d64c371fe1a166a53a0a7df5c7d8edba649ad23b5ce051672ab","LOC002","2026-03-25T13:21:31.0000000","2026-03-25T14:04:42.0000000","completed",,,"GBP","23.5000000000","0.0000000000","4.7000000000","23.5000000000","18.8000000000","1.0000000000","3.0000000000","2026-03-25T13:21:31.0000000","ORD00063638"
"ord_6e93ae2b2dc6439088fcd74854d3434b521a1d8433bd7e4042846b273918d8d6","LOC002","2026-03-25T13:28:27.0000000","2026-03-25T14:43:24.0000000","completed",,,"GBP","31.0000000000","0.0000000000","6.2000000000","31.0000000000","24.8000000000","2.0000000000","3.0000000000","2026-03-25T13:28:27.0000000","ORD00063630"
"ord_93ac1bbe4041d2cacd174861aaa60c2c0f22d5a45e49c774006e9f6848a01ee7","LOC002","2026-03-25T13:32:24.0000000","2026-03-25T14:45:53.0000000","completed",,,"GBP","25.5000000000","0.0000000000","5.1000000000","25.5000000000","20.4000000000","3.0000000000","3.0000000000","2026-03-25T13:32:24.0000000","ORD00063671"
