"id","order_id","parent_lineitem_id","lineitem_type","product_id","product_name","quantity","unit_price","line_total","line_gross","tax_total","discount_total","is_void","line_timestamp","line_order","source_line_id"
"li_1c34471b417d5663242ab22761c8efb733c46551be8b5b3b133d1c28426d8b6a","ord_604fc4d8f25f83f10e217d42ee05d730ad582ba5daac8705f4769b9df814a798",,"PROD",,,"1.0000000000","14.000000","14.0000000000","17.5000000000","3.5000000000",,"False","2026-03-25T11:28:52.0000000","1","LI00379368"
"li_447d601f4d395dd50963a52ba03e859b427c4c4ee6073c87b5cde29ea8b44125","ord_604fc4d8f25f83f10e217d42ee05d730ad582ba5daac8705f4769b9df814a798",,"PROD",,,"1.0000000000","6.000000","6.0000000000","7.5000000000","1.5000000000",,"False","2026-03-25T11:28:52.0000000","2","LI00379369"
"li_93da512fa701f3325c57aad93dfbb1269e2767348955c972673940a1f783fcac","ord_604fc4d8f25f83f10e217d42ee05d730ad582ba5daac8705f4769b9df814a798",,"PROD",,,"1.0000000000","9.200000","9.2000000000","11.5000000000","2.3000000000",,"False","2026-03-25T11:28:52.0000000","3","LI00379370"
"li_a825240cba43b93f0ce699b8e22c3975360df974f846168da08b147c8e0760b1","ord_6b03e12171a90c3f8d561838275487498fa8b51cc4fb0de7df6e95b8572090dd",,"PROD",,,"1.0000000000","5.600000","5.6000000000","7.0000000000","1.4000000000",,"False","2026-03-25T12:04:27.0000000","1","LI00379257"
"li_d220c3e40eeb6a297663f66ca6caf86271223b89cc022f9a0d3d90551f7e283d","ord_6b03e12171a90c3f8d561838275487498fa8b51cc4fb0de7df6e95b8572090dd",,"PROD",,,"1.0000000000","3.200000","3.2000000000","4.0000000000","0.8000000000",,"False","2026-03-25T12:04:27.0000000","2","LI00379258"
"li_e100973d15ae3eb3a183c14531e4829dc277ddd2bbb5a16eb01f38bec36f1325","ord_3bd188095e37c6d42a1a6273a3ba87db1ee0cc3c07beb6423ea0e25b6bc8e936",,"PROD",,,"1.0000000000","5.600000","5.6000000000","7.0000000000","1.4000000000",,"False","2026-03-25T12:08:54.0000000","1","LI00379261"
"li_cca03750bb401a8ebe4ecc262a68724f71df985e5f7dfaeafbf51f7f0cb87f4a","ord_3bd188095e37c6d42a1a6273a3ba87db1ee0cc3c07beb6423ea0e25b6bc8e936",,"PROD",,,"1.0000000000","13.200000","13.2000000000","16.5000000000","3.3000000000",,"False","2026-03-25T12:08:54.0000000","2","LI00379262"
"li_25bc7ef1e189d1c4af5eb7f7673a30adf11a1f578a8479b6692348dec0374eb2","ord_3bd188095e37c6d42a1a6273a3ba87db1ee0cc3c07beb6423ea0e25b6bc8e936",,"MOD",,,"1.0000000000","0.800000","0.8000000000","1.0000000000","0.2000000000",,"False","2026-03-25T12:08:54.0000000","3","LI00379263"
"li_3e54790fe5484b3a14a360badd8eb7ffb2cb86bd5492e30750113e93bfbcf26b","ord_3bd188095e37c6d42a1a6273a3ba87db1ee0cc3c07beb6423ea0e25b6bc8e936",,"PROD",,,"1.0000000000","8.800000","8.8000000000","11.0000000000","2.2000000000",,"False","2026-03-25T12:08:54.0000000","4","LI00379264"
"li_61fa02d8c25cd3edd8a8279b39fcc6a6cb05d8988cc41ddd6e9f9f5b4b0d4203","ord_263d231258f46f891d1439acacd76a33a4555f4481d9ba27459c7719d00ae6dd",,"PROD",,,"1.0000000000","2.400000","2.4000000000","3.0000000000","0.6000000000",,"False","2026-03-25T12:21:40.0000000","1","LI00379374"
"li_efbc739552d11ddd25623d9b619de878b6118c9bca8ac51788c72dca9ff171f5","ord_263d231258f46f891d1439acacd76a33a4555f4481d9ba27459c7719d00ae6dd",,"PROD",,,"1.0000000000","19.200000","19.2000000000","24.0000000000","4.8000000000",,"False","2026-03-25T12:21:40.0000000","2","LI00379375"
"li_b4a6803425fc119ea9b7679dc309215994ffaa717745c172615f08ed8a155b98","ord_263d231258f46f891d1439acacd76a33a4555f4481d9ba27459c7719d00ae6dd",,"MOD",,,"1.0000000000","0.800000","0.8000000000","1.0000000000","0.2000000000",,"False","2026-03-25T12:21:40.0000000","3","LI00379376"
"li_9d9aecd7fa1bccd2ecd0f9984f8fe50aa1777d0f36baf1dcecaa1eb53d03b03a","ord_bf4c93d0dcfb43febd639f09e777b098bed7ad3f861458bc9e5990fc7f4e61a1",,"PROD",,,"1.0000000000","4.000000","4.0000000000","5.0000000000","1.0000000000",,"False","2026-03-25T12:28:32.0000000","1","LI00379349"
"li_5c8b5a59e4377579fd2e4a9c8b54d739efe3815afdadfdc57c80e25350c7af3f","ord_bf4c93d0dcfb43febd639f09e777b098bed7ad3f861458bc9e5990fc7f4e61a1",,"PROD",,,"1.0000000000","11.600000","11.6000000000","14.5000000000","2.9000000000",,"False","2026-03-25T12:28:32.0000000","2","LI00379350"
"li_4e97da48f983531a40824855908b1e6759fef525a4c1c4f7e20129b0fe2c05d8","ord_bf4c93d0dcfb43febd639f09e777b098bed7ad3f861458bc9e5990fc7f4e61a1",,"PROD",,,"1.0000000000","12.800000","12.8000000000","16.0000000000","3.2000000000",,"False","2026-03-25T12:28:32.0000000","3","LI00379351"
"li_a9ad27fdb338d0e13cb8e26636b3d8511b2f33da3478dba6575b4b13a847ed27","ord_cad027e867b50a64a2235bd0b1149263d0537bebd90adeae8d7949ccd9705026",,"PROD",,,"1.0000000000","8.400000","8.4000000000","10.5000000000","2.1000000000",,"False","2026-03-25T12:36:58.0000000","1","LI00379159"
"li_4b09bea0848fd84e1299bde6e44fe34be51bc407746c28868291ed563f3594d9","ord_f1ae3a7e8adfff3b41d925ad05459cce95cf85047e7532e81e7ce8af151037e8",,"PROD",,,"1.0000000000","10.800000","10.8000000000","13.5000000000","2.7000000000",,"False","2026-03-25T12:59:54.0000000","1","LI00379398"
